"Kod";"Nazwa";"ogółem;łosie;2018;[szt.]";"ogółem;daniele;2018;[szt.]";"ogółem;muflony;2018;[szt.]";"ogółem;jelenie;2018;[tys. szt.]";"ogółem;sarny;2018;[tys. szt.]";"ogółem;dziki;2018;[tys. szt.]";"ogółem;lisy;2018;[tys. szt.]";"ogółem;zające;2018;[tys. szt.]";"ogółem;bażanty;2018;[tys. szt.]";"ogółem;kuropatwy;2018;[tys. szt.]";"odstrzał w łowieckim roku gospodarczym;łosie;2018;[szt.]";"odstrzał w łowieckim roku gospodarczym;daniele;2018;[szt.]";"odstrzał w łowieckim roku gospodarczym;muflony;2018;[szt.]";"odstrzał w łowieckim roku gospodarczym;jelenie;2018;[szt.]";"odstrzał w łowieckim roku gospodarczym;sarny;2018;[szt.]";"odstrzał w łowieckim roku gospodarczym;dziki;2018;[szt.]";"odstrzał w łowieckim roku gospodarczym;lisy;2018;[szt.]";"odstrzał w łowieckim roku gospodarczym;zające;2018;[szt.]";"odstrzał w łowieckim roku gospodarczym;bażanty;2018;[szt.]";"odstrzał w łowieckim roku gospodarczym;kuropatwy;2018;[szt.]";"odstrzał w łowieckim roku gospodarczym;kaczki;2018;[szt.]";
0000000;"POLSKA";22884;29014;3393;275,7;922,4;87,9;192,0;783,3;525,6;270,9;0;9013;647;95365;210133;266047;153813;13424;102895;2291;84747;
0200000;"DOLNOŚLĄSKIE";3;2120;2456;29,4;79,0;19,4;12,4;29,0;35,1;15,0;0;498;497;9087;20239;33844;11497;0;1902;0;3755;
0400000;"KUJAWSKO-POMORSKIE";941;3179;189;9,4;50,2;2,6;11,1;62,5;36,8;9,4;0;1189;41;3962;10537;13564;10327;382;16092;0;4428;
0600000;"LUBELSKIE";4298;346;0;9,0;58,0;3,7;15,2;92,7;58,4;27,9;0;64;0;3622;16133;7772;11440;2260;8488;131;6943;
0800000;"LUBUSKIE";2;1254;0;15,2;49,8;5,1;8,7;11,6;9,8;5,2;0;207;0;5210;10023;21686;5342;0;2700;0;1904;
1000000;"ŁÓDZKIE";343;1384;0;6,3;54,1;2,9;11,3;97,3;62,5;36,1;0;429;0;2125;12372;8342;12616;1669;7561;94;4675;
1200000;"MAŁOPOLSKIE";140;248;0;8,7;42,9;2,1;9,9;38,1;57,4;10,6;0;44;5;2510;9246;7802;10129;1670;14039;10;7173;
1400000;"MAZOWIECKIE";4360;967;0;9,2;73,7;5,3;19,6;148,4;83,9;51,9;0;169;0;3102;15736;11035;14872;3310;13283;1546;9332;
1600000;"OPOLSKIE";0;1945;31;11,4;44,5;2,4;6,1;11,4;17,9;4,6;0;816;8;5229;12526;10837;6175;40;4782;6;2171;
1800000;"PODKARPACKIE";611;683;2;17,4;50,9;2,9;11,1;21,4;33,3;11,6;0;106;0;5467;11416;7950;7667;190;5690;0;2483;
2000000;"PODLASKIE";5260;87;0;12,4;27,8;1,9;11,9;40,4;5,2;16,7;0;14;0;2878;5457;6194;6466;112;299;18;4393;
2200000;"POMORSKIE";325;1449;39;29,0;64,9;8,4;12,1;35,2;6,0;7,9;0;385;0;8788;12186;20730;6794;85;603;0;5187;
2400000;"ŚLĄSKIE";86;1441;2;10,5;38,2;3,1;8,4;17,4;27,6;6,4;0;519;0;4272;9184;11162;7222;458;6202;23;7342;
2600000;"ŚWIĘTOKRZYSKIE";336;282;0;4,3;29,6;2,2;6,3;41,8;38,7;34,8;0;54;0;1072;5521;4999;5111;2584;9902;334;4985;
2800000;"WARMIŃSKO-MAZURSKIE";5878;1708;30;25,6;71,1;5,1;14,8;52,7;3,4;9,8;0;515;0;9172;17355;27459;9867;118;198;0;6980;
3000000;"WIELKOPOLSKIE";220;8972;472;29,7;95,8;9,8;18,8;66,1;41,7;17,1;0;3205;94;10367;22049;28659;19598;546;9871;129;8165;
3200000;"ZACHODNIOPOMORSKIE";81;2949;172;48,2;92,1;10,9;14,3;17,3;7,9;5,9;0;799;2;18502;20153;44012;8690;0;1283;0;4831;
