"Kod";"Nazwa";"ogółem;1998;[osoba]";"0-9;1998;[osoba]";"10-19;1998;[osoba]";"20-29;1998;[osoba]";"30-39;1998;[osoba]";"40-49;1998;[osoba]";"50-59;1998;[osoba]";"60 lat i więcej;1998;[osoba]";
0000000;"POLSKA";37879105;6455735;5868199;5317013;6509208;4161000;4017915;5520067;
0200000;"DOLNOŚLĄSKIE";2948212;490597;450941;407798;555150;320144;319979;401104;
0400000;"KUJAWSKO-POMORSKIE";2044049;355518;330785;287519;353282;222648;204854;288166;
0600000;"LUBELSKIE";2209221;383943;343495;294077;348634;232967;235599;368855;
0800000;"LUBUSKIE";982684;181059;160246;136882;181134;102882;96963;122690;
1000000;"ŁÓDZKIE";2703698;403573;388072;350363;464769;315654;300596;478447;
1200000;"MAŁOPOLSKIE";3087613;532907;493496;456097;485330;330619;332164;453970;
1400000;"MAZOWIECKIE";4997845;786838;725100;659282;866616;561166;566362;827278;
1600000;"OPOLSKIE";1080701;187090;169151;167287;179098;117321;123765;136404;
1800000;"PODKARPACKIE";2018850;380236;338552;289342;310001;201449;205108;292289;
2000000;"PODLASKIE";1188547;211192;181644;170105;182695;121098;129241;192051;
2200000;"POMORSKIE";2095147;376127;340519;303346;375931;229930;208591;259309;
2400000;"ŚLĄSKIE";4907919;808537;724129;724429;878110;595009;532332;641070;
2600000;"ŚWIĘTOKRZYSKIE";1317441;222008;205158;172527;214568;139015;142359;221034;
2800000;"WARMIŃSKO-MAZURSKIE";1397997;270798;235066;208662;245510;138763;137451;160935;
3000000;"WIELKOPOLSKIE";3236618;571361;516742;454441;549842;351879;311853;478620;
3200000;"ZACHODNIOPOMORSKIE";1662563;293951;265103;234856;318538;180456;170698;197845;
