"Kod";"Nazwa";"uczelnie ogółem;studenci;mężczyźni;2018;[osoba]";"uczelnie ogółem;studenci;kobiety;2018;[osoba]";
0000000;"POLSKA";516354;712313;
0200000;"DOLNOŚLĄSKIE";52420;67895;
0400000;"KUJAWSKO-POMORSKIE";21782;34757;
0600000;"LUBELSKIE";28267;41587;
0800000;"LUBUSKIE";6054;7206;
1000000;"ŁÓDZKIE";28236;42528;
1200000;"MAŁOPOLSKIE";62113;88024;
1400000;"MAZOWIECKIE";109220;137561;
1600000;"OPOLSKIE";8954;12338;
1800000;"PODKARPACKIE";20659;26253;
2000000;"PODLASKIE";12039;17722;
2200000;"POMORSKIE";34404;49110;
2400000;"ŚLĄSKIE";48072;66656;
2600000;"ŚWIĘTOKRZYSKIE";8587;14098;
2800000;"WARMIŃSKO-MAZURSKIE";11709;15471;
3000000;"WIELKOPOLSKIE";46612;68912;
3200000;"ZACHODNIOPOMORSKIE";17226;22195;
